[2025-04-08 22:19:50,371] 15 root - INFO - Initiate the dataingestion
[2025-04-08 22:19:52,322] 57 root - INFO - Performed train test split on the dataframe
[2025-04-08 22:19:52,322] 58 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[2025-04-08 22:19:52,323] 62 root - INFO - Exporting train and test file path
[2025-04-08 22:19:52,376] 70 root - INFO - Exported train and test file path
[2025-04-08 22:19:52,377] 17 root - INFO - data initiation completed
[2025-04-08 22:19:52,381] 22 root - INFO - Initiate the data validation
[2025-04-08 22:19:52,401] 31 root - INFO - Required number of columns:2
[2025-04-08 22:19:52,401] 32 root - INFO - Columns in dataframe:31
[2025-04-08 22:19:52,402] 31 root - INFO - Required number of columns:2
[2025-04-08 22:19:52,402] 32 root - INFO - Columns in dataframe:31
