[2025-05-26 23:58:06,672] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-05-26 23:58:07,324] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-05-26 23:58:07,946] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-26 23:58:07,949] 107 dagshub - INFO - Accessing as ramgovind12
[2025-05-26 23:58:08,616] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/ramgovind12/Network-Security "HTTP/1.1 200 OK"
[2025-05-26 23:58:09,237] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-05-26 23:58:09,238] 107 dagshub - INFO - Initialized MLflow to track repo "ramgovind12/Network-Security"
[2025-05-26 23:58:09,240] 107 dagshub - INFO - Repository ramgovind12/Network-Security initialized!
[2025-05-26 23:58:09,240] 17 root - INFO - Initiate the dataingestion
[2025-05-26 23:58:15,204] 57 root - INFO - Performed train test split on the dataframe
[2025-05-26 23:58:15,204] 58 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[2025-05-26 23:58:15,205] 62 root - INFO - Exporting train and test file path
[2025-05-26 23:58:15,256] 70 root - INFO - Exported train and test file path
[2025-05-26 23:58:15,257] 19 root - INFO - data initiation completed
[2025-05-26 23:58:15,261] 24 root - INFO - Initiate the data validation
[2025-05-26 23:58:15,280] 31 root - INFO - Required number of columns:2
[2025-05-26 23:58:15,280] 32 root - INFO - Columns in dataframe:31
[2025-05-26 23:58:15,280] 31 root - INFO - Required number of columns:2
[2025-05-26 23:58:15,281] 32 root - INFO - Columns in dataframe:31
[2025-05-26 23:58:15,393] 26 root - INFO - Data validation completed.
[2025-05-26 23:58:15,394] 29 root - INFO - Data Transformation started
[2025-05-26 23:58:15,394] 48 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-26 23:58:15,394] 50 root - INFO - Starting data transformation
[2025-05-26 23:58:15,416] 38 root - INFO - Entered data_transformer_object method of DataTransformation class
[2025-05-26 23:58:15,416] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-26 23:58:15,428] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-05-26 23:58:15,431] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-05-26 23:58:15,432] 34 root - INFO - Data Transformation completed
[2025-05-26 23:58:15,432] 36 root - INFO - Model Trainer started
[2025-05-27 00:01:50,007] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-05-27 00:01:50,041] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-05-27 00:01:50,041] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-05-27 00:01:50,073] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-05-27 00:01:50,073] 123 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_26_2025_23_57_28\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912654885232581, precision_score=0.9892560308128928, recall_score=0.9932831263993487), test_metric_artifactr=ClassificationMetricArtifact(f1_score=0.9760574620909817, precision_score=0.9690966719492868, recall_score=0.9831189710610932))
[2025-05-27 00:01:50,077] 41 root - INFO - Model Trainer completed
